test_name,index,duration_in_ms,size_gb
db.fetch,35,32.90743300021859,3.53 GiB
db.fetch,36,32.97378299976117,3.53 GiB
db.fetch,37,34.00674099975731,3.53 GiB
db.fetch,38,25.69155500168563,3.53 GiB
db.fetch,39,34.639959998457925,3.53 GiB
db.fetch,40,28.090953001083108,3.53 GiB
db.fetch,41,35.00728600192815,3.53 GiB
db.fetch,42,25.490686999546597,3.53 GiB
db.fetch,43,33.04222099905019,3.53 GiB
db.fetch,44,29.693735999899218,3.53 GiB
db.fetch,45,35.74264199778554,3.53 GiB
db.fetch,46,32.989191997330636,3.53 GiB
db.fetch,47,27.166914002009435,3.53 GiB
db.fetch,48,27.57593999922392,3.53 GiB
db.fetch,49,29.815559999406105,3.53 GiB
db.fetch,50,28.551867999340175,3.53 GiB
db.fetch,51,24.771325999608962,3.53 GiB
db.fetch,52,27.731910999136744,3.53 GiB
db.fetch,53,32.21996000138461,3.53 GiB
db.fetch,54,26.303228998585837,3.53 GiB
db.fetch,55,30.955558002460748,3.53 GiB
db.fetch,56,30.912557998817647,3.53 GiB
db.fetch,57,26.394895001430996,3.53 GiB
db.fetch,58,25.35436800098978,3.53 GiB
db.fetch,59,32.37977500248235,3.53 GiB
db.fetch,60,28.905892999318894,3.53 GiB
db.fetch,61,32.26357899984578,3.53 GiB
db.fetch,62,23.739642998407362,3.53 GiB
db.fetch,63,28.207642000779742,3.53 GiB
db.fetch,64,24.530753998988075,3.53 GiB
db.fetch,65,25.46890300072846,3.53 GiB
db.fetch,66,31.605823001882527,3.53 GiB
db.fetch,67,28.15781900062575,3.53 GiB
db.fetch,68,25.68253300341894,3.53 GiB
db.fetch,69,26.680809998651966,3.53 GiB
db.fetch,70,27.183083999261726,3.53 GiB
db.fetch,71,28.27905700178235,3.53 GiB
db.fetch,72,23.23867000086466,3.53 GiB
db.fetch,73,24.471700002322905,3.53 GiB
db.fetch,74,29.39406200312078,3.53 GiB
db.fetch,75,92.97204399990733,3.53 GiB
db.fetch,76,29.602990001876606,3.53 GiB
db.fetch,77,22.27031700022053,3.53 GiB
db.fetch,78,28.738220000377623,3.53 GiB
db.fetch,79,21.11659299771418,3.53 GiB
db.fetch,80,26.47784600048908,3.53 GiB
db.fetch,81,24.86254799805465,3.53 GiB
db.fetch,82,24.23327499855077,3.53 GiB
db.fetch,83,33.09584800081211,3.53 GiB
db.fetch,84,28.783290999854216,3.53 GiB
db.fetch,85,25.405491000128677,3.53 GiB
db.fetch,86,27.178283999091946,3.53 GiB
db.fetch,87,24.738954998611007,3.53 GiB
db.fetch,88,28.78634099761257,3.53 GiB
db.fetch,89,28.897287000290817,3.53 GiB
db.fetch,90,32.25844299959135,3.53 GiB
db.fetch,91,28.638638999836985,3.53 GiB
db.fetch,92,29.38079700106755,3.53 GiB
db.fetch,93,27.745972998673096,3.53 GiB
db.fetch,94,26.00230999814812,3.53 GiB
db.fetch,95,29.967389000375988,3.53 GiB
db.fetch,96,30.85370500048157,3.53 GiB
db.fetch,97,29.409808998025255,3.53 GiB
db.fetch,98,27.560472997720353,3.53 GiB
db.fetch,99,29.105385998263955,3.53 GiB
db.insert,0,20.71587699902011,3.53 GiB
db.insert,1,35.40130399778718,3.53 GiB
db.insert,2,19.596035999711603,3.53 GiB
db.insert,3,24.49685700048576,3.53 GiB
db.insert,4,24.211894000472967,3.53 GiB
db.insert,5,20.639361999201356,3.53 GiB
db.insert,6,17.675661001703702,3.53 GiB
db.insert,7,17.280957999901148,3.53 GiB
db.insert,8,27.237906997470418,3.53 GiB
db.insert,9,28.658756000368157,3.53 GiB
db.insert,10,100.86061499896459,3.53 GiB
db.insert,11,20.375166001031175,3.53 GiB
db.insert,12,24.707226002647076,3.53 GiB
db.insert,13,28.5107900017465,3.53 GiB
db.insert,14,39.439893000235315,3.53 GiB
db.insert,15,17.979903001105413,3.53 GiB
db.insert,16,21.32010900095338,3.53 GiB
db.insert,17,19.136795999656897,3.53 GiB
db.insert,18,28.160067999124294,3.53 GiB
db.insert,19,27.059830998041434,3.53 GiB
db.insert,20,17.959363001864403,3.53 GiB
db.insert,21,15.380844997707754,3.53 GiB
db.insert,22,16.03789900036645,3.53 GiB
db.insert,23,23.613682998984586,3.53 GiB
db.insert,24,27.294057999824872,3.53 GiB
db.insert,25,15.874846998485737,3.53 GiB
db.insert,26,16.722423999453895,3.53 GiB
db.insert,27,19.02423299907241,3.53 GiB
db.insert,28,28.29364900026121,3.53 GiB
db.insert,29,21.715509999921778,3.53 GiB
db.insert,30,18.503563002013834,3.53 GiB
db.insert,31,19.17037800012622,3.53 GiB
db.insert,32,14.961553999455646,3.53 GiB
db.insert,33,24.478131999785546,3.53 GiB
db.insert,34,26.446101001056377,3.53 GiB
